DEBUG stats: genes_all=2538 genes_used=2538 mapped=2538 unmapped=0 nclusters=15 native_cluster=1 native_size=1705
         14486965 function calls (14345253 primitive calls) in 17.989 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1542    0.001    0.000    0.007    0.000 _docscrape.py:77(read_to_next_empty_line)
       97    0.001    0.000    0.004    0.000 _docscrape.py:548(__str__)
     1154    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      550    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
     3358    0.001    0.000    0.001    0.000 _parser.py:163(__len__)
     3264    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
   606/54    0.001    0.000    0.415    0.008 {built-in method builtins.__import__}
     3678    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      744    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
       21    0.001    0.000    0.021    0.001 compiler.py:595(_compile_with_cache_cuda)
      195    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     4114    0.001    0.000    0.001    0.000 _parser.py:255(match)
       76    0.001    0.000    0.002    0.000 _docscrape.py:290(_parse_see_also)
      275    0.001    0.000    0.003    0.000 overrides.py:86(verify_matching_signatures)
      511    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
   105/33    0.001    0.000    0.004    0.000 typing.py:1527(_make_substitution)
     2430    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        1    0.001    0.001    0.001    0.001 helpers.py:715(call_genomic_islands)
     1562    0.001    0.000    0.001    0.000 copy.py:232(_keep_alive)
      754    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:416(__enter__)
     4781    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     7261    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      607    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
     4781    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        5    0.001    0.000    0.005    0.001 __init__.py:805(sequence)
        5    0.001    0.000    0.002    0.000 Scanner.py:1581(_feed_header_lines)
     1240    0.001    0.000    0.001    0.000 syncdetect.py:29(_is_allowed)
      155    0.001    0.000    0.041    0.000 _compiler.py:743(compile)
      350    0.001    0.000    0.015    0.000 function_base.py:490(add_newdoc)
      155    0.001    0.000    0.002    0.000 _compiler.py:514(_compile_info)
       82    0.001    0.000    0.001    0.000 enum.py:252(__set_name__)
       13    0.001    0.000    0.004    0.000 enum.py:899(_convert_)
     1051    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       94    0.001    0.000    0.055    0.001 _array_api.py:840(decorator)
