         16423056 function calls (16281310 primitive calls) in 10.378 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 flags.py:12(Flags)
      209    0.001    0.000    0.002    0.000 helpers.py:220(init_cluster)
    10758    0.001    0.000    0.001    0.000 _docscrape.py:43(__getitem__)
  1847/11    0.001    0.000    0.555    0.050 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.001    0.001    0.002    0.002 helpers.py:510(write_output_gi)
  902/415    0.001    0.000    0.361    0.001 <frozen importlib._bootstrap>:1398(_handle_fromlist)
  208/197    0.001    0.000    0.009    0.000 inspect.py:2500(_signature_from_callable)
       94    0.001    0.000    0.032    0.000 _docscrape.py:388(_parse)
     1615    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:162(__enter__)
      598    0.001    0.000    0.004    0.000 typing.py:173(_type_check)
    644/6    0.001    0.000    0.555    0.093 <frozen importlib._bootstrap_external>:1017(exec_module)
      644    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
     3066    0.001    0.000    0.002    0.000 typing.py:1309(_is_dunder)
      948    0.001    0.000    0.002    0.000 inspect.py:2768(__init__)
     3666    0.001    0.000    0.002    0.000 _docscrape.py:91(peek)
      188    0.001    0.000    0.007    0.000 _docscrape.py:224(_parse_param_list)
     4735    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     6040    0.001    0.000    0.002    0.000 _docscrape.py:80(is_empty)
      131    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      821    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     1615    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      554    0.001    0.000    0.014    0.000 _docscrape.py:201(_read_to_next_section)
      327    0.001    0.000    0.002    0.000 inspect.py:3056(__init__)
       81    0.001    0.000    0.001    0.000 CodonTable.py:376(__init__)
  755/749    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1932    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     2553    0.001    0.000    0.002    0.000 typing.py:1125(_is_unpacked_typevartuple)
      156    0.001    0.000    0.002    0.000 enum.py:252(__set_name__)
     3018    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     3458    0.001    0.000    0.001    0.000 _parser.py:163(__len__)
