         14070320 function calls (13931903 primitive calls) in 6.447 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.001    0.000    0.002    0.000 Scanner.py:1581(_feed_header_lines)
       94    0.001    0.000    0.054    0.001 _array_api.py:840(decorator)
     3093    0.001    0.000    0.001    0.000 _parser.py:163(__len__)
     1514    0.001    0.000    0.001    0.000 copy.py:232(_keep_alive)
      421    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
       13    0.001    0.000    0.003    0.000 enum.py:899(_convert_)
       44    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     3863    0.001    0.000    0.001    0.000 _parser.py:255(match)
     6992    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     4534    0.001    0.000    0.001    0.000 typing.py:1818(<genexpr>)
     1468    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      167    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     4297    0.000    0.000    0.000    0.000 <frozen codecs>:334(getstate)
     1316    0.000    0.000    0.001    0.000 copy.py:192(_deepcopy_list)
       57    0.000    0.000    0.005    0.000 typing.py:812(Literal)
      482    0.000    0.000    0.001    0.000 _docscrape.py:188(_strip)
      550    0.000    0.000    0.002    0.000 _inspect.py:97(getargspec)
      101    0.000    0.000    0.001    0.000 inspect.py:3124(replace)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
   506/21    0.000    0.000    0.538    0.026 {built-in method builtins.__import__}
      421    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
   105/33    0.000    0.000    0.003    0.000 typing.py:1527(_make_substitution)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
      600    0.000    0.000    0.003    0.000 _docscrape.py:573(dedent_lines)
      137    0.000    0.000    0.002    0.000 _compiler.py:514(_compile_info)
       94    0.000    0.000    0.004    0.000 _docscrape.py:599(__str__)
        1    0.000    0.000    0.007    0.007 core.py:1(<module>)
      350    0.000    0.000    0.008    0.000 function_base.py:490(add_newdoc)
      658    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      741    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      440    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
     1905    0.000    0.000    0.001    0.000 _parser.py:292(tell)
      843    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      662    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       82    0.000    0.000    0.001    0.000 typing.py:1828(__hash__)
       15    0.000    0.000    0.002    0.000 typing.py:3013(__new__)
     1868    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      443    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2721    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1124    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     2492    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      470    0.000    0.000    0.000    0.000 _array_api.py:684(__str__)
      367    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
  372/242    0.000    0.000    0.014    0.000 typing.py:426(inner)
      163    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      137    0.000    0.000    0.020    0.000 _parser.py:970(parse)
      458    0.000    0.000    0.000    0.000 enum.py:830(__setattr__)
      546    0.000    0.000    0.001    0.000 _docscrape.py:86(is_unindented)
      298    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       72    0.000    0.000    0.001    0.000 enum.py:252(__set_name__)
      707    0.000    0.000    0.001    0.000 enum.py:696(__call__)
     1488    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
     2492    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      744    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
     2537    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      158    0.000    0.000    0.001    0.000 enum.py:355(__setitem__)
      607    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      779    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
       94    0.000    0.000    0.003    0.000 _array_api.py:744(_make_capabilities_note)
       92    0.000    0.000    0.000    0.000 _array_api.py:690(_make_sphinx_capabilities)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
      435    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
      403    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
       94    0.000    0.000    0.000    0.000 _docscrape.py:499(_str_see_also)
     1311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      508    0.000    0.000    0.002    0.000 __init__.py:183(sub)
     1311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      601    0.000    0.000    0.001    0.000 typing.py:1373(__getattr__)
      350    0.000    0.000    0.007    0.000 function_base.py:474(_add_docstring)
       81    0.000    0.000    0.001    0.000 CodonTable.py:149(make_back_table)
     1769    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3029    0.000    0.000    0.000    0.000 _docscrape.py:153(__getitem__)
      135    0.000    0.000    0.000    0.000 _internal.py:853(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      788    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
       94    0.000    0.000    0.040    0.000 _docscrape.py:140(__init__)
      547    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     1482    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     3755    0.000    0.000    0.000    0.000 gene.py:9(length_nt)
      317    0.000    0.000    0.001    0.000 {built-in method fromkeys}
      741    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      131    0.000    0.000    0.001    0.000 enum.py:1608(__and__)
        1    0.000    0.000    0.215    0.215 _support_alternative_backends.py:1(<module>)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       83    0.000    0.000    0.004    0.000 typing.py:753(Union)
      388    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
      367    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       55    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
      633    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
        1    0.000    0.000    0.000    0.000 strings.py:61(_override___module__)
      189    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      436    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      436    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      614    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
   115/52    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.002    0.002 QualityIO.py:1(<module>)
      443    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
   105/33    0.000    0.000    0.003    0.000 typing.py:1498(_determine_new_args)
     2417    0.000    0.000    0.000    0.000 typing.py:1442(<genexpr>)
   105/33    0.000    0.000    0.005    0.000 typing.py:1467(__getitem__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
     2199    0.000    0.000    0.000    0.000 copy.py:173(_deepcopy_atomic)
        1    0.000    0.000    0.014    0.014 numeric.py:1(<module>)
     1539    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
       12    0.000    0.000    0.001    0.000 typing.py:3157(__new__)
      440    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 Scanner.py:113(parse_header)
     2454    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      367    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
      476    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
     1038    0.000    0.000    0.000    0.000 _docscrape.py:403(<genexpr>)
     1284    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      746    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       55    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
      209    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
     1082    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       15    0.000    0.000    0.001    0.000 typing.py:2994(_make_nmtuple)
       91    0.000    0.000    0.000    0.000 typing.py:1271(_generic_init_subclass)
      246    0.000    0.000    0.001    0.000 typing.py:1322(__init__)
      376    0.000    0.000    0.000    0.000 _docscrape.py:491(_str_section)
        9    0.000    0.000    1.854    0.206 Scanner.py:483(parse)
       54    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      741    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       57    0.000    0.000    0.000    0.000 typing.py:395(_flatten_literal_params)
      392    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      126    0.000    0.000    0.000    0.000 inspect.py:177(get_annotations)
      706    0.000    0.000    0.000    0.000 enum.py:1157(__new__)
        3    0.000    0.000    0.129    0.043 _internal.py:56(clone_module)
       91    0.000    0.000    0.053    0.001 _support_alternative_backends.py:86(wrapper)
      417    0.000    0.000    0.000    0.000 enum.py:1590(_get_value)
     1494    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      137    0.000    0.000    0.013    0.000 _compiler.py:576(_code)
       55    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
     1191    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      143    0.000    0.000    0.000    0.000 tokenize.py:575(_generate_tokens_from_c_tokenizer)
     1128    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      822    0.000    0.000    0.000    0.000 _docscrape.py:156(__setitem__)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 _abc.py:403(PathBase)
       61    0.000    0.000    0.003    0.000 _internal.py:32(inner)
     1619    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      550    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      565    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      167    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
      476    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
