tests/CP116442.gbk
         16645481 function calls (16517950 primitive calls) in 6.637 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       81    0.000    0.000    0.000    0.000 typing.py:1271(_generic_init_subclass)
      240    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
        1    0.000    0.000    0.030    0.030 _add_newdocs.py:1(<module>)
      721    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.025    0.025 multiarray.py:1(<module>)
       43    0.000    0.000    0.007    0.000 _parser.py:970(parse)
      481    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      375    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.025    0.025 numeric.py:1(<module>)
      646    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      962    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      211    0.000    0.000    0.001    0.000 typing.py:1322(__init__)
    27/25    0.000    0.000    0.006    0.000 inspect.py:2500(_signature_from_callable)
        1    0.000    0.000    0.017    0.017 fromnumeric.py:1(<module>)
      307    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      208    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      284    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       77    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      302    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
     1736    0.000    0.000    0.000    0.000 typing.py:840(<genexpr>)
      847    0.000    0.000    0.000    0.000 _parser.py:255(match)
        5    0.000    0.000    0.005    0.001 __init__.py:815(record_end)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      530    0.000    0.000    0.000    0.000 _parser.py:175(append)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      485    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       42    0.000    0.000    0.000    0.000 enum.py:1608(__and__)
       50    0.000    0.000    0.000    0.000 typing.py:395(_flatten_literal_params)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      241    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      458    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      384    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      385    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
    41/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      377    0.000    0.000    0.000    0.000 _parser.py:292(tell)
      600    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
      346    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
      292    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      714    0.000    0.000    0.000    0.000 typing.py:1452(__eq__)
        1    0.000    0.000    0.018    0.018 _linalg.py:1(<module>)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
  547/469    0.000    0.000    0.000    0.000 typing.py:1458(__hash__)
      458    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      483    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
      135    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
      117    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
      481    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      675    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
  706/628    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       35    0.000    0.000    0.004    0.000 ipaddress.py:2316(__init__)
        1    0.000    0.000    0.000    0.000 PDBData.py:1(<module>)
