tests/CP116442.gbk
         4649657 function calls (4572845 primitive calls) in 1.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      365    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
     2182    0.001    0.000    0.001    0.000 typing.py:1309(_is_dunder)
      730    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
    365/6    0.001    0.000    0.426    0.071 <frozen importlib._bootstrap_external>:1017(exec_module)
      595    0.001    0.000    0.005    0.000 {built-in method builtins.sorted}
     3057    0.001    0.000    0.001    0.000 _parser.py:163(__len__)
     1536    0.001    0.000    0.002    0.000 <frozen codecs>:322(decode)
     2827    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       27    0.001    0.000    0.018    0.001 CodonTable.py:493(register_ncbi_table)
      846    0.001    0.000    0.001    0.000 _docscrape.py:475(_str_param_list)
     2268    0.001    0.000    0.002    0.000 typing.py:1125(_is_unpacked_typevartuple)
      275    0.001    0.000    0.003    0.000 overrides.py:86(verify_matching_signatures)
      508    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
      310    0.001    0.000    0.012    0.000 overrides.py:145(decorator)
      576    0.001    0.000    0.013    0.000 _docscrape.py:212(_read_sections)
      550    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
       94    0.001    0.000    0.007    0.000 _docscrape.py:366(_parse_summary)
  424/416    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1095    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     1496    0.001    0.000    0.007    0.000 _docscrape.py:77(read_to_next_empty_line)
      739    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      132    0.001    0.000    0.051    0.000 _compiler.py:743(compile)
      350    0.001    0.000    0.026    0.000 function_base.py:490(add_newdoc)
       94    0.001    0.000    0.003    0.000 _docscrape.py:548(__str__)
      854    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
